Date,Average pressure,Sea level pressure,Rainfall,Max rainfall (1 hour),Max rainfall (10 mins),Ave temp,Max temp,Min temp,Ave humidity,Min humidity,Ave wind speed,Hours of sunlight,Snowfall,Max snow cover,Gust x,Gust y,Max x,Max y
1981/2/25,1000.6,1005,0,0,0,3.1,6.2,1.1,52,32,4.1,1.3,0,,9.75807358,-9.75807358,5.515432893,-5.515432893
1981/2/26,1001.5,1006,0,0,0,1.2,5.3,-1.5,33,17,3.8,7.1,0,,12.86934342,-12.86934342,6.929646456,-6.929646456
1981/2/27,1013.4,1017.9,,,,0.9,5.2,-3.5,31,20,4,10.1,,,14.63711037,-14.63711037,6.858935778,-6.858935778
1981/2/28,1022,1026.5,,,,3.3,6.9,-1.3,44,27,2.6,8.4,,,8.869243512,-3.673760951,5.081337429,-2.104758878
1981/3/1,1019.8,1024.3,0,0.5,0,5,8.5,1,52,34,2.6,4.6,,,7.495331881,7.495331881,4.030508653,4.030508653
1981/3/2,1021.9,1026.4,1.5,0.5,0.5,4.7,9.3,0.2,54,27,3.8,8.4,0,,9.793123045,4.056444383,6.8,0
1981/3/3,1019.7,1024.2,0.5,0.5,0.5,6.2,9.9,1.1,58,39,1.9,7.2,,,5.266113335,-2.181295564,3.787906083,-1.569002073
1981/3/4,1006.4,1010.8,8.5,3,1,6.6,8.1,4.2,87,73,2.8,,,,10.80939053,-4.477396159,7.021484447,-2.908394086
1981/3/5,1009.7,1014.1,0,0,0,7.7,12.5,4.9,63,32,3.3,5.3,,,11.64088211,-4.821811248,7.1138724,-2.946662429
1981/3/6,1013.8,1018.2,,,,7.4,13.4,2.4,47,24,4.4,10.4,,,-14.28355698,-14.28355698,-7.212489168,-7.212489168
1981/3/7,1014.5,1018.9,,,,7.1,10.5,2,52,32,3.3,9.8,,,-8.555992052,-8.555992052,-5.9,7.23E-16
1981/3/8,1015.3,1019.7,,,,9.6,14,5.6,43,28,3.7,9.5,,,4.13298107,9.977898951,2.372637281,5.728053102
1981/3/9,1008.4,1012.9,4.5,2,0.5,5.5,7.5,4.7,74,51,3.6,,,,9.977898951,-4.13298107,6.374768774,-2.640515683
1981/3/10,1010,1014.5,1,0.5,0.5,6.1,11.1,2.5,55,24,5.7,5.7,,,16.72221954,-6.926570126,9.793123045,-4.056444383
1981/3/11,1023.8,1028.2,,,,6.4,10.1,2,43,22,4,10,,,13.21147731,-5.472373083,7.94536398,-3.291077518
1981/3/12,1023,1027.5,0,0,0,8.7,12.4,3.7,55,46,2.9,7.3,,,-8.6,1.05E-15,-6,7.35E-16
1981/3/13,1022.3,1026.7,,,,10.6,16.1,4.8,59,29,2.4,4.5,,,4.41E-16,7.2,2.82E-16,4.6
1981/3/14,1013.9,1018.4,11,1.5,0.5,8.6,10.7,6.7,91,63,3,,,,-8.2,1.00E-15,4.804173569,-1.989953848
1981/3/15,991.7,996,7.5,4,1.5,14.1,20.2,7.8,59,16,5.1,6.3,,,-23.92847989,-9.911500898,-10.16267486,-4.209517756
1981/3/16,1001.6,1005.9,,,,8.7,13.4,5,30,21,5,10.7,,,12.44507935,-12.44507935,5.939696962,-5.939696962
1981/3/17,1006.1,1010.5,,,,8.2,12.6,3.8,39,25,3.4,8.6,,,11.17894234,-4.630469532,6.467156728,-2.678784027
1981/3/18,1011.8,1016.2,,,,10.8,15.5,4,45,32,3.5,10.6,,,-11.8,1.45E-15,-7.6,9.31E-16
1981/3/19,1011.3,1015.6,,,,13.5,18.5,6.8,59,38,2.6,9.6,,,-9.793123045,4.056444383,-6.005216961,2.48744231
1981/3/20,1007.9,1012.2,21,7,2,14.6,18.5,10.7,68,44,4,5.3,,,13.4,0,9.2,0
1981/3/21,1011.1,1015.5,18,4.5,1,11.5,15,9,77,58,2.2,,,,7.66820012,3.176272489,5.358501289,2.219563908
1981/3/22,1003.1,1007.4,12.5,3.5,1.5,11.2,14.8,8.9,78,64,4.6,6.4,,,12.10282188,-5.013152964,7.852976026,-3.252809175
1981/3/23,1011.1,1015.5,0,0,0,11.8,16.6,8.2,47,26,6.7,10.3,,,23.00460036,-9.528817466,15.24401229,-6.314276634
1981/3/24,1021.8,1026.2,1,1,0.5,9.4,13.2,5.9,48,36,3.3,8,,,-3.826834324,9.238795325,5.635665148,-2.334368937
1981/3/25,1008.8,1013.2,25.5,4,1.5,7.6,9.4,5.9,91,83,3.1,,,,8.961631465,-3.712029294,5.635665148,-2.334368937
1981/3/26,991,995.2,0,0,0,12.5,20.6,9,58,28,3.8,5.4,,,20.32534972,-8.419035512,10.43983872,-4.324322786
1981/3/27,1004.2,1008.4,,,,9.9,14.4,5.9,33,21,5.7,10.9,,,18.20042679,-7.538863618,10.43983872,-4.324322786
1981/3/28,1014.5,1018.9,,,,8.9,12.3,5.3,50,37,3.3,7.7,,,10.62461462,-4.400859472,6.4,0
1981/3/29,1012.5,1016.8,,,,10.8,14.3,7.2,62,40,3.1,7,,,7.7,0,5.2,0
1981/3/30,1017.7,1022.1,,,,8.5,10.9,7.3,47,35,3.4,3.1,,,-6.717514421,6.717514421,-4.454772721,4.454772721
1981/3/31,1021.7,1026.2,0.5,0.5,0.5,5.6,7.6,4.1,60,45,3.1,,,,8.4,0,5.2,0
1981/4/1,1017.8,1022.3,4,1.5,0.5,6,8.2,2.7,79,57,2.2,,,,5.728053102,-2.372637281,3.880294037,-1.607270416
1981/4/2,999.9,1004.3,18,4.5,1,7.9,12.3,4.9,77,34,4.2,,,,23.37415217,-9.681890839,13.39625322,-5.548909769
1981/4/3,1008.2,1012.5,,,,12.3,17.1,4,40,22,3.3,11.5,,,9.977898951,-4.13298107,6.651932634,-2.755320713
1981/4/4,1007.2,1011.6,3.5,2,0.5,10.1,12.3,8.5,66,30,2.4,,,,5.450889242,-2.257832251,3.787906083,-1.569002073
1981/4/5,1008.2,1012.6,0,0,0,10.5,13.4,6.7,66,52,2.3,2.1,,,7.206260354,-2.984930772,4.527009709,-1.875148819
1981/4/6,1001.6,1005.9,2,2,1,12.7,16.5,8.6,76,43,3.6,0.2,,,13.43502884,-13.43502884,9.608347138,-3.979907697
1981/4/7,1010.7,1015,,,,14.4,19.3,9.1,28,17,6.3,11.5,,,17.27654726,-7.156180185,11.82565802,-4.898347934
1981/4/8,1024,1028.4,,,,11.9,15.4,8.7,36,26,3.1,11.1,,,9.7,0,6.5,0
1981/4/9,1020.9,1025.2,0,0,0,13.7,17.8,8.7,52,44,3.3,6.7,,,-10.5,1.29E-15,-6.3,7.72E-16
1981/4/10,1002.6,1006.8,19.5,6,2,13.4,15.9,11.1,81,61,2.8,1,,,12.10282188,-5.013152964,7.66820012,-3.176272489
1981/4/11,1002,1006.2,,,,17.9,23.3,10.8,58,32,2.6,11.4,,,-9.7,1.19E-15,-6.5,7.96E-16
1981/4/12,1007.6,1011.9,,,,16.3,20.8,13.1,56,46,2.8,9.1,,,-6.646803743,6.646803743,-4.242640687,4.242640687
1981/4/13,1005.3,1009.6,8,4.5,1.5,11.2,16.4,6,71,57,3.5,,,,7.35E-16,12,4.35E-16,7.1
1981/4/14,1013.5,1017.8,,,,11.6,16.3,5.6,62,30,3.3,11.3,,,13.21147731,-5.472373083,6.651932634,-2.755320713
1981/4/15,1014.8,1019.1,,,,14.9,17.9,10,37,20,4,9.1,,,14.2277448,-5.893324858,5.727564928,-5.727564928
1981/4/16,998.7,1003,21.5,5,1.5,11.5,15.5,10.3,81,62,3.2,,,,11.4561062,-4.745274561,6.467156728,-2.678784027
1981/4/17,1003.6,1007.8,0,0,0,13.7,19.4,10.4,42,24,4.7,7.6,,,11.80868325,-11.80868325,6.505382387,-6.505382387
1981/4/18,1013.7,1018.1,,,,12.2,17.7,8.6,38,24,5.3,11.2,,,18.66236656,-7.730205334,11.91804597,-4.936616278
1981/4/19,1015.3,1019.7,8,3.5,1,9.6,12.3,8,68,51,2.5,0.1,,,5.728053102,-2.372637281,3.603130177,1.492465386
1981/4/20,989.4,993.6,55,19.5,5,16.5,21.3,10.1,53,28,6.1,9.6,,,-18.01565088,7.462326931,-9.515959185,-3.941639353
